title,artistName,yearAsString,genre,image,brightness,blockCount,colorCount,pink,brown,yellow,blue,gray,purple,black,orange,green,white,red,mean_b_gradients_horiz,mean_g_gradients_horiz,mean_r_gradients_horiz,mean_b_gradients_vert,mean_g_gradients_vert,mean_r_gradients_vert
Untitled,Mavignier Almir,1962,abstract,https://uploads0.wikiart.org/images/almir-mavignier/untitled-1962.jpg,54.3458954248366,5,3,0.0,45.49666666666667,0.0,0.0,9.363333333333333,0.0,0.0,0.0,0.0,45.14,0.0,0.00958994708994709,0.001564614343707713,0.006577551453426692,0.006778129236330773,0.0040097923349653895,0.003930352463866115
Ohne Titel (Gleiche Dreiecke),Mavignier Almir,1967,abstract,https://uploads1.wikiart.org/images/almir-mavignier/ohne-titel-gleiche-dreiecke-1967.jpg,26.147441176470586,8,2,0.0,79.6325,0.3425,0.0,16.5025,0.0,0.01,0.49750000000000005,0.0,3.015,0.0,0.0022262754144090984,0.0024872960684675046,0.005983065787013542,0.00261892036344201,0.0010143341430211142,0.001971335713144014
Two Squares,Mavignier Almir,1967,abstract,https://uploads3.wikiart.org/images/almir-mavignier/two-squares-1967.jpg!Large.jpg,14.822593358951622,6,2,0.0,45.381909547738694,2.030150753768844,0.0,4.937185929648241,0.0,43.31658291457286,1.0251256281407035,0.0,3.309045226130653,0.0,0.005746110325318246,0.005141462013499928,0.0010033828335531219,0.005423507794440164,0.004797609813553966,0.0047926531783613145
Untitled,Mavignier Almir,1967,abstract,https://uploads0.wikiart.org/images/almir-mavignier/untitled-1967.jpg,23.309910320717435,36,4,0.0,18.267441860465116,0.0,0.0,14.062015503875969,0.0,56.75581395348838,0.0,0.0,10.914728682170542,0.0,0.007616974972796518,0.007920557985577491,0.004989012294351725,0.007326683905922916,0.006596794081381011,0.012557218854385748
Cinetic Composition,Mavignier Almir,1968,abstract,https://uploads2.wikiart.org/images/almir-mavignier/cinetic-composition-1968.jpg!Large.jpg,29.547155892059795,4,5,0.0,48.757425742574256,2.089108910891089,0.0,18.995049504950494,0.0,18.297029702970296,5.7772277227722775,0.0,6.084158415841584,0.0,0.003219198127011999,0.009820595819388819,0.007082476582133882,0.005066977285963891,0.009947241151901516,0.002682495291364648
Punktstruktur,Mavignier Almir,1968,abstract,https://uploads5.wikiart.org/images/almir-mavignier/punktstruktur-1968.jpg,15.59195937367753,30,3,0.0,38.47122302158274,0.0,0.0,1.7805755395683454,0.0,52.85611510791367,0.0,0.0,6.892086330935252,0.0,0.008590626860593689,0.007175080558539205,0.00486896142935772,0.01014771997430957,0.007891332470892626,0.002204043572246005
Amarelo Sobre Preto (Da Série Punctum),Mavignier Almir,1969,abstract,https://uploads1.wikiart.org/images/almir-mavignier/amarelo-sobre-preto-da-s-rie-punctum-1969.jpg!Large.jpg,18.00359477124183,7,3,0.0,21.737179487179485,0.0,0.0,13.35897435897436,0.0,62.13461538461539,0.0,0.0,2.769230769230769,0.0,0.02110138960370561,0.010279889426399447,0.00034494653328734045,0.01836318295171163,0.014507309452070082,0.02590557362341595
Reflexo sobre Amarelo-limão,Mavignier Almir,1974,abstract,https://uploads1.wikiart.org/images/almir-mavignier/reflexo-sobre-amarelo-lim-o-1974.jpg,61.47255933952529,1,1,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,99.99736842105264,0.0,0.0,0.0,0.003087894717494394,0.002688400260350341,0.0008030055350024377,0.001171174468396589,0.0034098915034521627,0.001844061545554083
Composição Série Puncton,Mavignier Almir,,abstract,https://uploads1.wikiart.org/images/almir-mavignier/composi-o-s-rie-puncton.jpg,24.491082460381413,2,2,0.0,77.9041095890411,0.08219178082191782,0.0,2.4863013698630136,0.0,2.041095890410959,0.3595890410958904,0.0,15.335616438356164,1.791095890410959,0.003969702500456288,0.0018203883495145632,0.01127147766323024,0.009495663969768907,0.0011864155420436007,0.0008306459493794586
Composição,Mavignier Almir,,abstract,https://uploads5.wikiart.org/images/almir-mavignier/composi-o.jpg!Large.jpg,51.88901369593063,32,2,0.0,0.0,0.0,0.0,88.87939698492463,0.0,0.0,0.0,0.0,11.120603015075377,0.0,0.00595256172745771,0.0043498524157216095,0.005251176202762179,0.006332211685530743,0.0025657071339173967,0.0005800641123492597
Untitled,Mavignier Almir,,abstract,https://uploads4.wikiart.org/images/almir-mavignier/untitled.jpg,22.819483742864236,6,1,0.0,95.82278481012658,0.0,0.0,3.958860759493671,0.0,0.21835443037974683,0.0,0.0,0.0,0.0,0.0016457864508111375,0.0004395753026306891,0.008458208458208459,0.004435931041435629,0.003621226478949506,0.00430014333811127
Formas,Mavignier Almir,,abstract,https://uploads2.wikiart.org/images/almir-mavignier/formas.jpg!Large.jpg,19.268237294917967,3,4,0.0,42.81377551020408,0.0,0.010204081632653062,16.010204081632654,0.0,33.93877551020408,0.0,0.0,7.227040816326531,0.0,0.003723736783452475,0.0010529816005320329,0.0060116893960478705,0.004460544456759753,0.003282486966595868,0.00111000111000111
Untitled,Mavignier Almir,,abstract,https://uploads6.wikiart.org/images/almir-mavignier/untitled-1.jpg!Large.jpg,51.71643568422133,3,4,0.0,35.70942408376963,0.0,0.0,13.363874345549739,0.0,7.9319371727748695,0.0,0.0,42.99476439790576,0.0,0.0030168537696168016,0.005230885472668623,0.0006395162931310136,0.005621864729285591,0.0044376123905098906,0.00391100295498001
Untitled,Souza-Cardoso Amadeo de,1914,abstract,https://uploads8.wikiart.org/images/amadeo-de-souza-cardoso/untitled-1914.jpg,52.58186724230976,2,1,0.0,2.091743119266055,0.0,0.0,96.41743119266056,0.0,0.0045871559633027525,0.0,0.0,1.4862385321100917,0.0,0.006190453160516516,0.0014986705342035292,0.004839099927413501,0.007390590281132258,0.01070653484446588,0.0037088772217137903
Painting (Deployment-intersection),Souza-Cardoso Amadeo de,1914,abstract,https://uploads5.wikiart.org/images/amadeo-de-souza-cardoso/painting-deployment-intersection-1914.jpg,55.737310924369744,6,4,0.0,18.642857142857142,0.5428571428571428,0.0,62.01428571428571,0.0,1.417857142857143,5.2821428571428575,0.0,11.942857142857143,0.15714285714285714,0.0028131477642878294,0.0031469825990373935,0.0071001078026839155,0.003968548327275424,7.421150278293135e-05,0.0037662676660327405
Painting,Souza-Cardoso Amadeo de,1914,abstract,https://uploads8.wikiart.org/images/amadeo-de-souza-cardoso/painting-1914.jpg!Large.jpg,46.5491429276113,6,2,0.0,29.849056603773583,0.003144654088050314,0.0,66.64150943396227,0.0,0.006289308176100628,0.06289308176100629,0.0,3.4371069182389933,0.0,0.0034310976213255914,0.00205026455026455,0.0028012127603480094,0.0019880715705765406,0.00082904990880451,0.0014243598661764219
Interior expression of things,Souza-Cardoso Amadeo de,1915,abstract,https://uploads2.wikiart.org/images/amadeo-de-souza-cardoso/interior-expression-of-things-1915.jpg,42.96876059065602,19,3,0.0,48.92901234567901,0.0,0.0,34.47530864197531,0.0,2.9290123456790123,0.962962962962963,0.0,12.703703703703702,0.0,0.0020196097592755464,0.007004680697849498,0.001631214928879029,0.001444280321680617,0.0035506460203175855,0.003536577379003209
The Rise of Green Square and the Woman's Violin 1916,Souza-Cardoso Amadeo de,,abstract,https://uploads2.wikiart.org/images/amadeo-de-souza-cardoso/the-rise-of-green-square-and-the-woman-s-violin-1916.jpg,35.19560708898945,16,4,0.0,44.30288461538461,0.16826923076923078,0.0,35.40865384615385,0.0,10.639423076923077,9.423076923076923,0.0,0.057692307692307696,0.0,0.004758210499094906,0.0038974358974358976,0.00513347022587269,0.011233617640940295,0.009037855704178071,0.013003160130549656
Composition cubiste,Herbin Auguste,1917,abstract,https://uploads1.wikiart.org/images/auguste-herbin/composition-cubiste-1917.jpg!Large.jpg,69.21316967731975,5,4,0.0,8.696850393700787,1.6929133858267715,0.0,53.08267716535433,0.0,0.0,6.799212598425197,0.007874015748031496,29.20472440944882,0.515748031496063,0.0019346711059119949,0.0028946178199909544,0.006589112060347178,0.008372177218626963,0.01140028160058137,0.0048597102512378506
Composition monumentale,Herbin Auguste,1919,abstract,https://uploads5.wikiart.org/images/auguste-herbin/composition-monumentale-1919.jpg!Large.jpg,45.750738651625035,20,3,0.0,38.554794520547944,0.8013698630136986,0.003424657534246575,52.25,0.0,0.0136986301369863,5.36986301369863,0.0,2.9760273972602738,0.030821917808219176,0.00787516406591804,0.008320199391562512,0.0005108929679232201,0.006966058989180376,0.006902438119271162,0.007638116425658138
Composition,Herbin Auguste,1927,abstract,https://uploads2.wikiart.org/images/auguste-herbin/composition-1927.jpg!Large.jpg,44.60984262125903,19,4,0.0,44.473684210526315,0.7072368421052632,0.0,42.23026315789474,0.0,0.019736842105263157,5.957236842105263,0.0,6.575657894736842,0.03618421052631579,0.004552512704686618,0.001237404984974368,0.003862223938766195,0.00046720575022461816,0.008886962176221957,0.00222845230393214
Composition,Herbin Auguste,1928,abstract,https://uploads2.wikiart.org/images/auguste-herbin/composition-1928.jpg!Large.jpg,36.06613190730838,15,4,0.0,36.69230769230769,4.143356643356643,0.0,32.61538461538461,0.0,16.426573426573427,3.688811188811189,0.0,6.41958041958042,0.013986013986013986,0.005990602975724354,0.008942349542990544,0.0067227551501808465,0.00448642266824085,0.0007578477124965099,0.00764295897354665
Abstraction,Herbin Auguste,1928,abstract,https://uploads2.wikiart.org/images/auguste-herbin/abstraction-1928.jpg!Large.jpg,37.73775423212763,9,5,0.0,35.85714285714286,1.3416149068322982,0.0,24.680124223602483,0.0,18.20186335403727,7.56832298136646,0.0,12.263975155279503,0.08695652173913043,0.0012553436927461492,0.0019743336623889436,0.0020126215248166468,0.004804887256752583,0.003777991482346476,0.005716647152007714
Untitled,Herbin Auguste,1931,abstract,https://uploads8.wikiart.org/images/auguste-herbin/untitled-1931.jpg!Large.jpg,40.87182327476445,10,3,0.0,50.68181818181819,0.4448051948051948,0.0,35.04545454545455,0.0,0.42207792207792205,1.5584415584415585,0.0,11.75974025974026,0.08766233766233766,0.008394389013659291,0.005650767686531098,0.008767082918922902,0.003677563150074294,0.005896935096153846,0.002195593926763918
Untitled,Herbin Auguste,1931,abstract,https://uploads1.wikiart.org/images/auguste-herbin/untitled-1931-1.jpg,49.877438725490194,3,4,0.0,35.996875,1.290625,0.0,38.9625,0.0,0.09062500000000001,11.4,0.0,12.103125,0.15625,0.008060471448018915,0.007461032725123735,0.0022336140607835957,0.004242162784009204,0.0015608740894901144,0.005242127643975219
Untitled,Herbin Auguste,1931,abstract,https://uploads1.wikiart.org/images/auguste-herbin/untitled-1931-2.jpg!Large.jpg,42.71690873880416,7,3,0.0,51.361111111111114,0.0,0.0,39.626543209876544,0.0,0.8395061728395061,0.00308641975308642,0.0,8.141975308641976,0.027777777777777776,0.0026875066303617525,0.005761638866166376,0.0043907793633369925,0.003309813050120026,0.0005867683731846853,0.006111980208825991
Untitled,Herbin Auguste,1931,abstract,https://uploads1.wikiart.org/images/auguste-herbin/untitled-1931-3.jpg!Large.jpg,40.82408124926617,12,4,0.0,55.73353293413174,4.122754491017964,0.0,18.84431137724551,0.0,0.45808383233532934,10.089820359281438,0.0,10.751497005988025,0.0,0.00010017697933014993,0.005148528266097619,0.001280323450134771,0.00842281879194631,0.008296928443225304,0.004704459155213549
Combat Clair-Obscur,Herbin Auguste,1939,abstract,https://uploads1.wikiart.org/images/auguste-herbin/combat-clair-obscur-1939.jpg!Large.jpg,33.419320899091346,8,3,0.0,42.231707317073166,2.829268292682927,0.12601626016260165,43.44308943089431,0.0,6.601626016260162,2.7113821138211383,0.0,1.353658536585366,0.7032520325203252,0.008926527809567406,0.007211428046483855,0.011501072520651728,0.010506600886208944,0.008865818365565712,0.0022745882995177874
Composition,Herbin Auguste,1940,abstract,https://uploads2.wikiart.org/images/auguste-herbin/composition-1940.jpg,29.533631995844694,10,3,0.0,72.46688741721854,2.0662251655629142,0.0,18.311258278145694,0.0,0.0,5.298013245033113,0.0,1.8576158940397351,0.0,0.0011828900675392071,0.001107250582261082,0.008929580648807505,0.0024391203430504742,0.005814873417721519,0.00834796177101619
Synchromy in Dark Blue,Herbin Auguste,1941,abstract,https://uploads4.wikiart.org/images/auguste-herbin/synchromy-in-dark-blue-1941.jpg,34.24009255876263,7,4,0.0,54.51552795031056,7.214285714285714,0.0,4.369565217391305,0.0,0.06832298136645962,19.72670807453416,0.0,3.8757763975155277,10.229813664596273,0.004854900529293667,0.004343850022862369,0.0019159966939664888,0.0038976505828431196,0.004885381435550545,0.001784253958813471
"Composition sur le Mots, Poires, Pommes, Pêches",Herbin Auguste,1942,abstract,https://uploads8.wikiart.org/images/auguste-herbin/composition-sur-le-mots-poires-pommes-p-ches-1942.jpg,42.09112327101383,17,3,0.0,36.333333333333336,0.2441860465116279,0.0,34.06976744186046,0.0,0.28294573643410853,24.77906976744186,0.0,4.271317829457364,0.01937984496124031,0.0038380528902410486,0.000583373845405931,0.010916197921632186,0.011268527610230514,0.004781222833961171,0.009959686981266303
Blanc,Herbin Auguste,1947,abstract,https://uploads5.wikiart.org/images/auguste-herbin/blanc-1947.jpg!Large.jpg,40.86046446947574,17,5,0.0,49.48581560283688,7.641843971631205,0.0,8.627659574468085,0.0,1.7375886524822697,14.72695035460993,0.0,13.315602836879433,4.464539007092198,0.007796721619463623,0.004216839244717238,0.0021716028277041074,0.002636498729686976,0.0009521089212605922,0.007572172266919072
Alphabet Plastique II,Herbin Auguste,1950,abstract,https://uploads3.wikiart.org/images/auguste-herbin/alphabet-plastique-ii-1950.jpg,62.93707893413776,11,5,0.0,11.532051282051283,16.59294871794872,0.5160256410256411,24.16346153846154,0.0,4.887820512820513,9.625,0.0,32.631410256410255,0.05128205128205128,0.005556236466887282,0.007085112180942865,0.009631336405529954,0.008556278621354543,0.002222320992044091,0.006514952721350043
Di Mache 1,Herbin Auguste,1950,abstract,https://uploads1.wikiart.org/images/auguste-herbin/di-mache-1-1950.jpg,53.2583931133429,11,5,36.91158536585366,0.009146341463414634,1.7378048780487807,0.0,25.509146341463413,0.06707317073170732,0.0,10.195121951219512,0.0,13.411585365853659,12.158536585365853,0.007460652721945901,0.004199944918755164,0.008412124582869855,0.00599884113296295,0.0026530682562105916,0.002859633827375763
Friday I,Herbin Auguste,1951,abstract,https://uploads8.wikiart.org/images/auguste-herbin/friday-i-1951.jpg,40.74279963641085,15,6,0.0,37.70198675496689,0.0,0.16556291390728478,7.437086092715233,0.0,10.874172185430464,14.142384105960264,0.0,22.572847682119203,7.105960264900663,0.0009388613489559862,0.00042695233659369663,0.005320994794679005,0.008721469660419373,0.007418170694401958,0.004839201341258955
Storm,Herbin Auguste,1953,abstract,https://uploads5.wikiart.org/images/auguste-herbin/storm-1953.jpg,36.57335050808645,5,4,0.0,59.51094890510949,0.0,0.0,12.846715328467154,0.0,0.0,1.6131386861313868,0.0,12.83941605839416,13.18978102189781,0.0038104310550130982,0.011498604078928689,0.010370575221238939,0.011734542944482793,0.0010312822275696115,0.002436460921077776
Untitled,Herbin Auguste,1959,abstract,https://uploads8.wikiart.org/images/auguste-herbin/untitled-1959.jpg,39.689763021773125,9,5,0.0,13.177914110429448,0.0,0.0,28.883435582822088,0.0,14.101226993865032,0.06134969325153375,0.0,18.16871165644172,25.607361963190183,0.012009803921568628,0.011608961303462322,0.008571145461751882,0.005189189189189189,0.006340025582559368,0.0027678280690328883
Nude,Herbin Auguste,1960,abstract,https://uploads4.wikiart.org/images/auguste-herbin/nude-1960.jpg!Large.jpg,37.21611253196931,7,4,0.0,49.41304347826087,0.0,7.661490683229815,16.956521739130434,0.02484472049689441,0.2670807453416149,0.0,0.0,25.11801242236025,0.5590062111801243,0.0024080560420315237,0.009723191439869737,0.0028177975730582193,0.00459425249636679,0.0008869616635458756,0.010696733159872795
Le Fin,Herbin Auguste,1960,abstract,https://uploads6.wikiart.org/images/auguste-herbin/le-fin-1960.jpg,66.02559272074842,9,3,0.0,20.905228758169937,0.0,0.0,2.7483660130718954,0.0,10.049019607843137,0.0,0.0,66.29738562091502,0.0,0.010051282051282051,0.008350033400133601,0.00721857855875923,0.0005320019643149452,0.0018653622948101476,0.009009009009009009
Cause,Herbin Auguste,,abstract,https://uploads0.wikiart.org/images/auguste-herbin/cause.jpg,33.95574778931181,9,5,1.2843137254901962,34.54901960784314,0.0,0.0588235294117647,16.941176470588236,0.0,13.970588235294118,0.3235294117647059,3.7156862745098036,9.30392156862745,19.852941176470587,0.00931199334857618,0.0027851626788201037,0.0034926389318714357,0.00607813547954393,0.004514958437064855,0.004734142813308201
Diagonel des Carrès,Quin Camelo Arden,1936,abstract,https://uploads5.wikiart.org/images/carmelo-arden-quin/diagonel-des-carr-s-1936.jpg,56.04963738920225,3,3,0.0,30.568493150684933,0.0,0.0,47.14041095890411,0.0,0.3527397260273973,0.0,0.0,21.938356164383563,0.0,0.008503853308530427,0.0038273253226524255,0.007002051556507002,0.0015395064523432195,0.00231344976185076,0.0010468344636111238
Négal,Quin Camelo Arden,1943,abstract,https://uploads0.wikiart.org/images/carmelo-arden-quin/n-gal-1943.jpg,62.760715914272694,5,4,0.0,18.976744186046513,0.3226744186046512,0.0,38.633720930232556,0.0,2.229651162790698,7.566860465116279,0.0,32.2703488372093,0.0,0.00010590602605288241,0.008707591140658309,0.007088607594936709,0.008863417933292992,0.009272727272727273,0.00920943334898335
Lice,Quin Camelo Arden,1945,abstract,https://uploads8.wikiart.org/images/carmelo-arden-quin/lice-1945.jpg!Large.jpg,66.15463731504872,12,3,0.0,18.742331288343557,0.0,0.0,43.11656441717792,0.0,1.0368098159509203,0.4202453987730061,0.0,36.6840490797546,0.0,0.0,0.0,0.0,0.005807979269981682,0.005900776179020471,0.005878363101966991
Mad II,Quin Camelo Arden,1945,abstract,https://uploads1.wikiart.org/images/carmelo-arden-quin/mad-ii-1945.jpg,66.69757443718228,4,3,0.0,22.007407407407406,0.0,0.0,32.25925925925926,0.0,0.7111111111111111,0.011111111111111112,0.0,45.01111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peinture Madi,Quin Camelo Arden,1946,abstract,https://uploads8.wikiart.org/images/carmelo-arden-quin/peinture-madi-1946.jpg!Large.jpg,61.30976522187822,2,3,0.0,27.440789473684212,0.0,0.0,40.28289473684211,0.0,0.0,0.0,0.0,32.276315789473685,0.0,0.009469551158672724,0.00038559420066322205,0.003856983067844332,0.0078072894189650435,0.0001180637544273908,0.0009059754992712806
Blue Circle,Quin Camelo Arden,1947,abstract,https://uploads6.wikiart.org/images/carmelo-arden-quin/blue-circle-1947.jpg!Large.jpg,71.19242599000384,6,2,0.0,1.8333333333333333,0.0,0.0,57.127450980392155,0.0,0.013071895424836603,0.0392156862745098,0.0,40.98692810457516,0.0,0.00951797385620915,0.003793905274752172,0.0037469782433521355,0.010361395445999582,0.005327470297239017,0.002923854475585815
Ilke,Quin Camelo Arden,1951,abstract,https://uploads8.wikiart.org/images/carmelo-arden-quin/ilke-1951.jpg!Large.jpg,92.19200473292766,2,1,0.0,0.22844827586206898,0.0,0.0,2.5129310344827585,0.0,0.008620689655172414,0.06896551724137931,0.0,97.18103448275862,0.0,0.0049903172948011325,0.00527642148369822,0.00525325388113533,0.010516495632261895,0.011074394927212646,0.011036938139741877
Forme Madi,Quin Camelo Arden,1958,abstract,https://uploads5.wikiart.org/images/carmelo-arden-quin/forme-madi-1958.jpg!Large.jpg,66.93662790697675,7,4,0.0,9.979651162790699,0.0436046511627907,0.0,40.81686046511628,0.0,7.113372093023256,0.07267441860465117,0.0,41.97383720930233,0.0,0.00614630467571644,0.007839853859034861,0.00944715262819786,0.009753411727691038,0.007785501489572989,0.009965200885795633
Untitled,Quin Camelo Arden,1962,abstract,https://uploads3.wikiart.org/images/carmelo-arden-quin/untitled-1962.jpg,63.39926286303995,3,3,0.0,0.7556390977443609,0.0037593984962406013,0.0,79.40225563909775,0.0,9.718045112781954,4.819548872180452,0.0,5.157894736842105,0.14285714285714285,4.556016219417741e-05,0.0003727865796831314,0.004459256477656778,0.0008228947609033556,0.00177180957709703,0.006007568590350047
Elan,Quin Camelo Arden,1989,abstract,https://uploads8.wikiart.org/images/carmelo-arden-quin/elan-1989.jpg,32.536000421674046,7,5,0.0,6.408602150537634,0.021505376344086023,0.0,12.091397849462366,0.0,53.352150537634415,5.943548387096774,0.0,22.182795698924732,0.0,0.0,0.0,0.0,0.0034992662828761713,0.014443353168871685,0.00028653295128939826
Rythme 3,Quin Camelo Arden,1995,abstract,https://uploads3.wikiart.org/images/carmelo-arden-quin/rythme-3-1995.jpg!Large.jpg,76.47598039215686,6,2,0.0,3.2343749999999996,0.0,0.0,3.25,0.0,15.70703125,0.0,0.0,77.80859375,0.0,0.0017764733142813006,0.001796594282143415,0.001782393056416615,0.0010670731707317074,0.011272390364422484,0.011274131274131275
Almagro,Quin Camelo Arden,,abstract,https://uploads6.wikiart.org/images/carmelo-arden-quin/almagro.jpg,60.369755222350385,9,4,0.0,24.18954248366013,0.0,0.0,34.1078431372549,0.0,0.0,20.137254901960784,0.0,21.562091503267975,0.003267973856209151,0.002511980213325089,0.004304546677428033,0.004885217253157518,0.005073746312684366,0.0038048432483849233,0.004039167686658507
Gris,Quin Camelo Arden,,abstract,https://uploads3.wikiart.org/images/carmelo-arden-quin/gris.jpg,79.4765479876161,5,3,0.0,8.671052631578947,0.0,0.0,24.279605263157894,0.0,2.299342105263158,0.0,0.0,64.75,0.0,0.0063919643876269834,0.013653136531365314,0.0008696192310081372,0.0007162041181736795,0.0005656108597285068,0.014059972626601965
Untitled,Quin Camelo Arden,,abstract,https://uploads7.wikiart.org/images/carmelo-arden-quin/untitled.jpg,51.03391690009337,6,3,0.0,16.833333333333332,2.2470238095238093,0.0,62.25000000000001,0.0,0.5357142857142857,0.1279761904761905,0.0,18.00595238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flight of Colors,Herrera Carmen,1949,abstract,https://uploads7.wikiart.org/images/carmen-herrera/flight-of-colors-1949.jpg,61.10446543580936,27,2,0.0,0.014598540145985403,0.0,0.0,66.02919708029196,0.0,0.0,33.956204379562045,0.0,0.0,0.0,0.0005121638924455825,0.004425158962020966,0.0016165244723843736,0.004772870002093364,0.00804053771095942,0.004224980195405334
Red Star,Herrera Carmen,1949,abstract,https://uploads8.wikiart.org/images/carmen-herrera/red-star-1949.jpg,16.956030897207366,8,4,0.0,28.22222222222222,0.0,0.0,3.9494949494949494,0.0,50.90909090909091,0.1414141414141414,0.0,5.858585858585859,10.919191919191919,0.0024104683195592287,0.0013336296954878863,0.006431581281880683,0.013539097011072228,0.007937829586455732,0.004928290603023423
Siete,Herrera Carmen,1949,abstract,https://uploads5.wikiart.org/images/carmen-herrera/siete-1949.jpg,58.054367201426025,8,5,0.0,22.227272727272727,36.15909090909091,0.0,7.731060606060606,0.0,0.06439393939393939,26.454545454545453,0.0,7.359848484848484,0.003787878787878788,0.0038662624664997144,0.004559984956750658,0.01107117181883537,0.0019638648860958365,0.009244779689081042,0.005481891018132409
Untitled,Herrera Carmen,1950,abstract,https://uploads8.wikiart.org/images/carmen-herrera/untitled-1950.jpg,87.59895424836601,3,1,0.0,0.1,0.0,0.0,1.1307692307692307,0.0,3.733333333333334,0.0,0.0,95.03589743589743,0.0,0.004591055942866859,0.0026666666666666666,0.01192679415998355,0.01937026703866082,0.0031548757170172083,0.00595581171950048
